GEOID,Turnout_Rate,NAME,Male_Pop,Female_Pop,Total_Ethnicity,White_Non_Hispanic,Black_African_American,Asian,Hispanic_Latino,Other_race,Total_Commuters,Drove_Alone_to_Work,Public_Transportation_Users,Worked_From_Home,Total_Education_Population,High_School_Graduate,Bachelors_Degree,Graduate_Professional_Degree,Median_Household_Income,Total_Employed,Total_Unemployed
24003731210,0.553836634,Census Tract 7312.10; Anne Arundel County; Maryland,873,773,138,46,0,0,0,0,1225,915,0,0,1860,469,115,0,102330,1231,94
24003731303,0.611495089,Census Tract 7313.03; Anne Arundel County; Maryland,2647,2586,184,64,0,0,0,0,2988,2438,12,0,4955,906,451,39,131123,3143,294
24003731306,0.577066562,Census Tract 7313.06; Anne Arundel County; Maryland,2662,2547,324,62,0,0,0,0,3482,3106,15,0,4628,1220,532,52,148324,3469,8
24003731307,0.449705305,Census Tract 7313.07; Anne Arundel County; Maryland,2065,2022,254,59,0,0,0,0,3128,2818,17,0,4007,1019,359,43,106277,3152,100
24003731308,0.492974239,Census Tract 7313.08; Anne Arundel County; Maryland,1588,1530,84,18,0,0,0,0,2019,1912,0,0,3193,1229,103,7,80500,1971,63
24003731309,0.492247108,Census Tract 7313.09; Anne Arundel County; Maryland,1946,1747,400,88,0,0,0,0,2918,2596,16,0,3728,926,526,22,117950,2918,226
24003731310,0.482380579,Census Tract 7313.10; Anne Arundel County; Maryland,2076,1981,177,66,31,0,0,0,2619,2328,21,0,3638,969,381,0,110956,2652,31
24003731312,0.449772382,Census Tract 7313.12; Anne Arundel County; Maryland,1680,1574,167,9,0,0,0,0,2508,2008,28,0,3126,984,137,0,107222,2534,56
24003731313,0.424632353,Census Tract 7313.13; Anne Arundel County; Maryland,1288,1171,524,58,0,0,0,0,2230,1580,0,0,2596,566,100,0,84167,2095,71
24003740103,0.494544888,Census Tract 7401.03; Anne Arundel County; Maryland,3675,3297,1083,173,15,0,0,0,4815,4112,69,0,6442,1039,1026,119,134476,4645,243
24003740104,0.472959355,Census Tract 7401.04; Anne Arundel County; Maryland,3498,2827,1640,79,16,0,0,0,4803,3710,312,27,5873,1146,1086,48,124643,4705,412
24003740105,0.34199536,Census Tract 7401.05; Anne Arundel County; Maryland,1710,1134,1051,0,0,0,0,0,2457,1949,47,12,2740,785,184,8,84138,2421,155
24003740106,0.503768116,Census Tract 7401.06; Anne Arundel County; Maryland,1411,1209,349,21,0,0,0,0,1779,1485,121,0,2307,362,278,152,140305,1623,35
24003740107,0.40212766,Census Tract 7401.07; Anne Arundel County; Maryland,1417,1139,442,39,35,0,35,0,2089,1750,68,0,2558,46,732,0,125556,1939,98
24003740108,0.451920458,Census Tract 7401.08; Anne Arundel County; Maryland,2242,1709,1095,70,28,0,0,28,3888,2985,203,0,4408,668,691,46,138901,4010,67
24003740203,0.562013055,Census Tract 7402.03; Anne Arundel County; Maryland,2148,1979,401,64,1,0,0,0,2820,2251,80,0,3883,1024,396,17,152727,2898,72
24003740204,0.431876607,Census Tract 7402.04; Anne Arundel County; Maryland,1513,1384,267,34,0,0,0,0,1927,1592,43,0,2850,963,239,9,79922,1884,250
24003740205,0.465542169,Census Tract 7402.05; Anne Arundel County; Maryland,964,740,620,36,15,0,0,0,1440,1299,56,0,2002,416,138,13,75714,1453,36
24003740303,0.513287117,Census Tract 7403.03; Anne Arundel County; Maryland,1900,1593,803,0,0,0,0,0,2500,2164,13,0,3540,657,522,70,154000,2545,119
24003740304,0.482582649,Census Tract 7403.04; Anne Arundel County; Maryland,2808,2613,693,65,25,0,0,0,4427,3514,222,0,4981,676,1009,52,89036,3973,35
24003740305,0.432025951,Census Tract 7403.05; Anne Arundel County; Maryland,3677,3152,1649,133,0,0,0,0,6296,5110,337,0,7168,914,1115,49,93548,5567,167
24003740400,0.5,Census Tract 7404; Anne Arundel County; Maryland,3938,3845,97,7,0,0,0,0,0,0,0,0,3896,915,33,0,NA,0,0
24003740501,0.432986627,Census Tract 7405.01; Anne Arundel County; Maryland,2275,2005,519,46,0,0,0,0,3252,2393,104,0,3881,396,768,38,113188,3120,556
24003740502,0.474452555,Census Tract 7405.02; Anne Arundel County; Maryland,2035,1396,1378,64,0,0,0,0,3252,2743,61,0,3663,578,688,252,144514,3339,161
24003740601,0.421330517,Census Tract 7406.01; Anne Arundel County; Maryland,1881,1540,683,63,27,14,0,0,2850,2366,46,10,3470,226,624,116,103072,1837,80
24003740602,0.334782609,Census Tract 7406.02; Anne Arundel County; Maryland,1041,902,405,11,0,0,0,0,1508,1312,38,9,1888,171,297,20,101716,1012,60
24003740603,0.261788618,Census Tract 7406.03; Anne Arundel County; Maryland,1272,1169,147,10,0,0,0,0,1684,1249,53,0,1213,190,243,16,107616,624,21
24003740701,0.579638009,Census Tract 7407.01; Anne Arundel County; Maryland,2280,2157,519,168,45,0,0,0,3491,2907,143,0,4743,794,966,34,111917,3342,86
24003740703,0.56243629,Census Tract 7407.03; Anne Arundel County; Maryland,2072,1776,618,55,0,0,0,0,3227,2522,119,9,3910,450,1150,145,179629,3154,63
24003740704,0.621889055,Census Tract 7407.04; Anne Arundel County; Maryland,2371,2018,812,263,45,0,0,0,3488,2580,111,0,4654,587,858,105,120739,3541,90
24003740800,0.595526316,Census Tract 7408; Anne Arundel County; Maryland,1732,1637,229,82,0,0,0,0,2610,2039,36,0,3402,702,518,64,137550,2616,72
24003740900,0.516319444,Census Tract 7409; Anne Arundel County; Maryland,2817,2587,692,96,12,0,0,0,4229,3204,237,0,5587,1140,1131,42,147261,4200,383
24003741000,0.528769841,Census Tract 7410; Anne Arundel County; Maryland,1153,1050,252,28,5,0,0,0,1481,1163,40,0,2031,420,387,24,160144,1403,30
24003750101,0.323076923,Census Tract 7501.01; Anne Arundel County; Maryland,1808,1410,808,23,23,0,0,23,1849,1476,147,25,3009,1184,149,21,66100,1851,114
